Objective = 1007.27
Vehicle    Node    Arrival Time
1    0    202.422
1    31    207.277
1    23    216.0
1    111    238.0
1    103    249.0
1    77    276.0
1    12    280.681
1    92    290.0
1    157    297.192
1    39    376.147
1    70    397.0
1    119    409.147
1    150    430.0
1    161    442.193
2    0    79.363
2    80    87.0
2    160    95.803
2    3    284.147
2    83    295.0
2    161    308.742
3    0    74.865
3    8    84.281
3    61    92.0
3    88    104.628
3    141    125.0
3    68    139.0
3    148    155.807
3    29    159.913
3    6    178.053
3    109    184.0
3    86    200.0
3    42    245.143
3    18    255.0
3    122    270.939
3    98    288.0
3    161    295.791
4    0    13.362
4    69    25.565
4    78    43.46
4    75    49.0
4    149    58.565
4    158    71.702
4    155    81.246
4    30    92.679
4    54    100.0
4    110    105.442
4    64    121.0
4    134    125.858
4    32    130.938
4    53    140.826
4    144    149.726
4    112    159.537
4    133    165.957
4    56    191.0
4    136    209.454
4    59    220.0
4    51    243.166
4    139    253.0
4    131    263.824
4    161    273.859
5    0    42.976
5    73    47.0
5    28    57.0
5    153    63.796
5    15    69.957
5    95    76.78
5    108    90.0
5    9    123.908
5    20    131.715
5    89    137.0
5    100    159.0
5    76    291.702
5    43    297.0
5    156    306.033
5    123    330.0
5    161    345.065
6    0    47.482
6    44    53.779
6    74    70.0
6    154    78.905
6    124    86.779
6    57    118.75
6    62    127.095
6    137    136.844
6    41    143.0
6    33    152.88
6    142    158.067
6    121    169.833
6    113    181.0
6    60    216.0
6    5    243.204
6    140    249.0
6    38    254.398
6    85    263.0
6    1    269.857
6    118    287.0
6    81    301.0
6    34    396.995
6    114    401.0
6    161    410.778
7    0    15.244
7    26    25.474
7    106    45.0
7    22    227.05
7    102    241.0
7    161    250.084
8    0    162.517
8    79    167.742
8    21    175.942
8    101    182.069
8    67    187.896
8    159    200.742
8    36    214.0
8    147    220.896
8    116    247.0
8    2    291.018
8    82    298.0
8    71    314.0
8    65    325.0
8    145    334.041
8    151    341.311
8    11    363.055
8    91    381.0
8    58    396.0
8    138    403.953
8    16    418.227
8    10    428.375
8    96    435.985
8    90    450.0
8    161    459.76
9    0    69.252
9    46    77.321
9    47    89.0
9    127    101.881
9    126    110.321
9    19    142.084
9    99    148.0
9    35    154.473
9    72    165.312
9    115    185.853
9    152    198.103
9    40    227.937
9    120    236.0
9    14    258.0
9    52    267.824
9    132    282.001
9    94    291.0
9    25    312.542
9    50    321.0
9    130    332.072
9    105    341.425
9    66    405.0
9    27    431.564
9    146    437.728
9    107    446.0
9    161    455.601
10    0    74.043
10    17    85.869
10    13    98.0
10    97    114.82
10    93    131.0
10    48    139.876
10    128    151.862
10    63    164.394
10    49    170.0
10    143    175.289
10    129    203.0
10    4    264.0
10    37    274.536
10    117    293.259
10    84    297.0
10    45    316.0
10    125    339.067
10    55    370.0
10    135    375.948
10    24    434.11
10    104    449.0
10    7    456.952
10    87    468.0
10    161    474.153
